Target	Log2FC	padj
AT2G30770	-1.66382750160634	6.02E-05
AT5G48790	1.66985268017079	6.04E-05
AT4G15975	-1.66662346769723	6.07E-05
AT4G15370	-1.15513619358508	6.09E-05
AT1G76490	0.306097396691628	6.10E-05
AT3G53680	1.87991805651327	6.10E-05
AT2G32660	1.27196880945783	6.43E-05
AT2G04400	-0.485997710523392	6.58E-05
AT1G18970	-0.637919778695189	6.67E-05
AT3G56400	-1.16192222770044	6.73E-05
AT3G55980	-0.625369908594247	7.22E-05
AT5G53820	-1.16054417861493	7.41E-05
AT1G15790	1.36991829248658	7.69E-05
AT2G30750	-0.611677176405252	7.69E-05
AT4G18250	-0.745564387961664	7.70E-05
AT1G23205	-0.693100246325617	7.73E-05
AT5G46960	-1.95225384415052	7.80E-05
AT5G66610	1.18860804671733	7.90E-05
AT1G74040	-0.519662072633302	7.91E-05
AT5G23510	-0.614864374318741	7.91E-05
AT1G26380	-0.647799505877656	7.97E-05
AT1G10540	-2.35534833013581	8.04E-05
AT1G22900	-2.01826869511842	8.05E-05
AT2G23270	-0.917551160978497	8.33E-05
AT5G43745	0.807403490202968	8.62E-05
AT5G15970	0.874942334348698	8.65E-05
AT1G05320	-0.560477876988788	8.77E-05
AT1G73010	-1.13343417275962	9.02E-05
AT5G66580	1.09360353966643	9.43E-05
AT5G03840	-1.62068959295437	9.47E-05
AT1G77130	0.436696786654812	9.52E-05
AT4G27070	-0.549484396292761	9.58E-05
AT3G27940	6.20151559198105	9.62E-05
AT5G56370	5.90388175120748	9.62E-05
AT5G07990	0.66586782186308	9.64E-05
AT2G40400	-0.537737442957992	9.88E-05
AT1G25988	-6.2219824096675	9.96E-05
AT1G66880	-0.580880420979467	9.99E-05
AT1G17890	0.417398472238718	0.000100570951072753
AT3G48840	2.54449232423009	0.000100570951072753
AT5G44585	-1.17756072371634	0.000100620337918058
AT1G27510	0.475244438391326	0.000100726162208436
AT1G11905	-0.503101444304417	0.000101998721927795
AT5G02270	0.415313672886424	0.000103924463094896
AT4G01390	-1.60459731769695	0.000103984253243859
AT1G10880	-5.87267967810794	0.00010708897058767
AT5G36150	1.82737882122531	0.000108828727180844
AT3G48740	-2.62195953130593	0.000112527372997971
AT5G59210	0.415023456926722	0.00011818271394922
AT5G18840	0.506162104082597	0.000118221543906568
AT5G20240	-2.47769857942455	0.000119947110231181
AT3G27610	0.623428873943769	0.000123351663567697
AT1G53430	-0.640075547309649	0.000129289914266831
AT5G47050	-0.534614477661096	0.000130061302198512
AT4G23810	-0.884306796322153	0.000131128637962108
AT1G36060	-0.482000903131809	0.000134236390414552
AT1G78850	-0.457651662440158	0.000136624491935991
AT2G38920	-1.54972813631329	0.000136846969178492
AT5G41690	1.22280726013094	0.000137040757978093
AT1G14900	0.462407031781064	0.000137809523583462
AT1G10000	6.09664823341662	0.000137851060562997
AT3G48300	-3.09028273931454	0.000145105168527897
AT5G58990	0.60390389216175	0.000148517448474225
AT3G44755	6.10433261612901	0.000149201125573721
AT1G76430	-1.65182098015901	0.000149322270763041
AT1G72020	0.411132804513327	0.000153089758015962
AT4G11850	-0.423905894743876	0.000153868137797657
AT5G47230	-0.565160058580846	0.000154241088378518
AT3G15450	-1.09273377193595	0.000155352118703776
AT2G39980	-0.894864256735414	0.000160746098186932
